Date,Volume,Turnover,Open,High,Low,Close,Change,Trades,Daily_Return,Log_Return,MA20,MA60,Volatility20,Volume_MA20,Volume_Ratio,Return_Outlier,Regime
2025-06-27,34877892.0,37353695324.0,1070.0,1080.0,1060.0,1080.0,5.0,38535.0,0.0046511627906977715,0.004640379556502301,1028.95,954.25,0.3234705447733941,36083723.5,0.9665823982937902,False,MA20 >= MA60
2025-06-30,35763093.0,38268458555.0,1075.0,1080.0,1060.0,1060.0,-20.0,39464.0,-0.01851851851851849,-0.01869213301215252,1034.65,956.1833333333333,0.32005156497800824,35841454.75,0.9978136559872754,False,MA20 >= MA60
2025-07-01,52818889.0,57235426744.0,1080.0,1095.0,1075.0,1085.0,25.0,68934.0,0.02358490566037741,0.023311078868447146,1041.4,958.5666666666667,0.32603210610164307,37108253.4,1.4233730817414327,False,MA20 >= MA60
2025-07-02,24453697.0,26349711755.0,1075.0,1085.0,1070.0,1085.0,0.0,26005.0,0.0,0.0,1046.15,962.5166666666667,0.2987898631940141,36171118.45,0.6760558713107749,False,MA20 >= MA60
2025-07-03,39719503.0,43590599965.0,1105.0,1105.0,1090.0,1090.0,5.0,52136.0,0.004608294930875667,0.004597709248629549,1050.75,967.0833333333334,0.29853211754370085,36804706.1,1.0791963096262844,False,MA20 >= MA60
2025-07-04,23556842.0,25635862115.0,1095.0,1100.0,1080.0,1085.0,-5.0,33003.0,-0.004587155963302725,-0.0045977092486294314,1055.25,972.0833333333334,0.29911764144739894,37042680.9,0.6359378270593801,False,MA20 >= MA60
2025-07-07,19949311.0,21467492525.0,1080.0,1085.0,1070.0,1080.0,-5.0,29161.0,-0.004608294930875556,-0.0046189458562945285,1059.0,975.7,0.300039084155872,36842544.4,0.5414748445006964,False,MA20 >= MA60
2025-07-08,29944918.0,32081882384.0,1070.0,1080.0,1065.0,1080.0,0.0,37874.0,0.0,0.0,1060.75,978.8833333333333,0.26823008310176816,35572094.9,0.8418092351372873,False,MA20 >= MA60
2025-07-09,25899845.0,27998741278.0,1070.0,1090.0,1065.0,1090.0,10.0,30492.0,0.0092592592592593,0.009216655104924048,1062.0,982.6333333333333,0.2619717008407161,34560227.75,0.749411872727025,False,MA20 >= MA60
2025-07-10,23947482.0,26242095552.0,1095.0,1100.0,1090.0,1100.0,10.0,34427.0,0.00917431192660545,0.009132483563272474,1064.75,986.35,0.2521766878729277,34324508.1,0.6976788110184163,False,MA20 >= MA60
2025-07-11,30615792.0,33607768195.0,1095.0,1100.0,1090.0,1100.0,0.0,30851.0,0.0,0.0,1068.25,990.4333333333333,0.24433629163586568,34286700.3,0.8929349203078607,False,MA20 >= MA60
2025-07-14,29975913.0,32777573059.0,1100.0,1100.0,1085.0,1095.0,-5.0,29965.0,-0.004545454545454519,-0.004555816535860691,1071.75,994.5666666666667,0.24420020403146528,34222618.2,0.875909400759992,False,MA20 >= MA60
2025-07-15,49458466.0,54619049312.0,1095.0,1115.0,1090.0,1110.0,15.0,62368.0,0.013698630136986356,0.013605652055778678,1075.0,998.9,0.23995447806633619,35151019.95,1.40702790617033,False,MA20 >= MA60
2025-07-16,34513639.0,38866594123.0,1120.0,1130.0,1120.0,1130.0,20.0,65168.0,0.018018018018018056,0.01785761740000647,1078.75,1003.8166666666667,0.24478676706278552,34789683.2,0.992065343095737,False,MA20 >= MA60
